Energy (eV), Intensity (a.u.)
1.431404382330399905e+00,2.634319222562029950e+02
1.431478006733230002e+00,2.474266983438559464e+02
1.431551640362900057e+00,1.436440423027520694e+02
1.431625279915359927e+00,1.595789281289677035e+02
1.431699029532399914e+00,2.074194078120858649e+02
1.431772685902739983e+00,1.994097753596353471e+02
1.431846450708069929e+00,1.595022387549146856e+02
1.431920120594740053e+00,2.471889260059829496e+02
1.431993799716289928e+00,2.152590651016548122e+02
1.432067486420520064e+00,2.471097220371111405e+02
1.432141279951899993e+00,1.275199888001206574e+02
1.432215183650749957e+00,2.390618153845061329e+02
1.432288893141020036e+00,2.151211358075106546e+02
1.432362608564079931e+00,1.752557720491579687e+02
1.432436333230070025e+00,1.911574861034648620e+02
1.432510267384490055e+00,2.389086239475798266e+02
1.432584005596770016e+00,2.149832776091736548e+02
1.432657854026190059e+00,3.025206710560524925e+02
1.432731710069639952e+00,2.069545782904155260e+02
1.432805572072719968e+00,2.467140473057440033e+02
1.432879443347599979e+00,2.466745040948447638e+02
1.432953322240049898e+00,2.307230206507831269e+02
1.433027208751239900e+00,2.147766469662559246e+02
1.433101101226089913e+00,1.988353850339198061e+02
1.433175002978140045e+00,2.385642748456681090e+02
1.433248912352480087e+00,1.590172683936909550e+02
1.433322928757430059e+00,1.987397936578443023e+02
1.433396752315760025e+00,3.179328846656161431e+02
1.433470785648629953e+00,2.066231533592114147e+02
1.433544725534150022e+00,2.304273877671600985e+02
1.433618772496040084e+00,2.701130018541723530e+02
1.433692727649370058e+00,1.985805816373262189e+02
1.433766690433240010e+00,1.985487570936953148e+02
1.433840659190849909e+00,1.349914022134114475e+02
1.433914839534019992e+00,2.223033569543822807e+02
1.433988825237320075e+00,1.825769973674998425e+02
1.434062919744220066e+00,2.619164633948887513e+02
1.434136919071020033e+00,2.698100970581326692e+02
1.434211028883179972e+00,2.142265263111943909e+02
